Wall time,Step,Value
1736639141.9832134,268,6284.07958984375
1736639149.5097992,297,5995.48388671875
1736639154.4807398,312,5944.8017578125
1736639154.798962,313,5944.80908203125
1736639162.3926346,339,5888.70849609375
1736639166.5754797,353,5867.1142578125
1736639167.584232,357,5861.60546875
1736639174.065564,378,5837.21484375
1736639183.8777566,414,5808.111328125
1736639186.1075187,422,5802.591796875
1736639192.6340504,441,5790.59375
1736639196.4099386,453,5784.251953125
1736639209.9015145,494,5765.29052734375
1736639214.5485497,509,5758.95458984375
1736639221.6546717,532,5749.57861328125
1736639222.8770194,535,5748.37744140625
1736639234.1900935,569,5735.85693359375
1736639252.5116997,616,5718.2177734375
1736639259.5947998,636,5711.2392578125
1736639266.1062121,652,5705.68701171875
1736639271.047862,665,5701.45068359375
1736639279.0976036,687,5694.58740234375
1736639290.3145483,715,5685.54736328125
1736639294.4951394,725,5682.3193359375
1736639296.8194695,731,5680.4326171875
1736639307.2618105,760,5670.47119140625
1736639316.2025595,783,5663.5380859375
1736639318.2081528,788,5661.662109375
1736639318.843462,790,5661.06298828125
1736639325.5216718,806,5656.38818359375
1736639327.4174483,812,5654.84423828125
1736639339.13957,844,5645.15185546875
1736639340.0207129,846,5644.57763671875
1736639356.4840443,887,5633.27197265625
1736639359.0970237,893,5631.578125
1736639359.4260948,894,5631.22216796875
1736639365.8681226,908,5627.01806640625
1736639372.8440542,925,5622.26611328125
1736639389.9703987,971,5610.36083984375
1736639406.1669958,1014,5599.7509765625
1736639410.4293046,1025,5597.041015625
1736639420.5392134,1054,5589.8779296875
1736639440.250835,1107,5577.98583984375
1736639443.592473,1116,5576.09228515625
1736639452.3255785,1136,5571.9541015625
1736639473.927286,1192,5561.51025390625
1736639496.3077312,1249,5551.1904296875
1736639503.1508708,1265,5548.6845703125
1736639505.6112912,1272,5547.57666015625
1736639506.8353155,1276,5546.96875
1736639511.3735485,1287,5545.3984375
1736639519.1298764,1306,5542.462890625
1736639524.2792878,1321,5541.80322265625
1736639526.1919107,1327,5539.69921875
1736639538.74048,1359,5535.92626953125
1736639539.3850033,1361,5535.01513671875
1736639545.3500414,1375,5533.64111328125
1736639548.035976,1382,5531.69970703125
1736639555.993994,1401,5529.0439453125
1736639556.3817415,1402,5528.90185546875
1736639560.061186,1414,5527.28857421875
1736639564.045181,1424,5525.9853515625
1736639564.767202,1426,5525.7294921875
1736639567.4556272,1434,5524.7353515625
1736639580.0199175,1468,5520.7470703125
1736639594.0418103,1502,5516.833984375
1736639594.5780468,1504,5516.69189453125
1736639595.8506038,1507,5516.2568359375
1736639597.4749372,1511,5515.82568359375
1736639599.6229978,1517,5515.08349609375
1736639601.414848,1521,5514.609375
1736639621.5119915,1575,5508.916015625
1736639629.1159437,1595,5507.029296875
1736639640.9260755,1625,5503.912109375
1736639641.252492,1626,5507.89697265625
1736639656.8651164,1667,5502.4560546875
1736639672.5110078,1707,5497.48876953125
1736639673.0424688,1708,5497.53662109375
1736639685.6190538,1744,5494.49462890625
1736639688.6685338,1752,5493.8359375
1736639691.5623198,1760,5493.1552734375
1736639692.5458465,1763,5492.896484375
1736639705.6303184,1798,5489.95849609375
1736639707.225631,1801,5489.7275390625
1736639712.8284624,1815,5488.74951171875
1736639713.6758883,1818,5488.63427734375
1736639720.79716,1835,5487.17822265625
1736639724.8514388,1846,5486.4111328125
1736639735.6639063,1877,5483.70263671875
1736639738.9272327,1885,5483.05859375
1736639752.061049,1920,5482.1142578125
1736639758.000169,1935,5482.12646484375
1736639764.9457273,1952,5478.7734375
1736639765.6306598,1954,5478.89111328125
1736639768.0054443,1961,5481.1484375
1736639793.5548103,2027,5475.05517578125
1736639820.5830963,2097,5470.32861328125
1736639826.4430475,2110,5469.68505859375
1736639829.0153077,2117,5469.935546875
1736639841.0890965,2149,5468.4150390625
1736639842.430267,2152,5467.970703125
1736639845.1381652,2159,5467.10009765625
1736639856.6944425,2190,5465.44287109375
1736639865.0765767,2210,5465.5048828125
1736639865.4754362,2211,5465.39306640625
1736639872.9368575,2229,5463.6484375
1736639909.2119586,2320,5458.75
1736639913.170837,2329,5458.30224609375
1736639916.8887475,2339,5457.78173828125
1736639921.2464497,2350,5457.30810546875
1736639964.4190161,2459,5453.49951171875
1736639976.6795084,2489,5452.5263671875
1736640010.1779647,2569,5447.9765625
1736640026.0305974,2609,5444.67333984375
1736640039.0672178,2644,5442.5380859375
1736640055.1615384,2686,5440.93505859375
1736640056.5978696,2691,5439.92041015625
1736640062.8940754,2704,5439.22119140625
1736640066.0983655,2712,5438.78662109375
1736640067.104112,2715,5438.62939453125
1736640074.8279746,2735,5437.84619140625
1736640082.5475314,2753,5438.7060546875
1736640087.544456,2767,5436.13134765625
1736640088.532551,2769,5435.82861328125
1736640092.8577209,2780,5435.71923828125
1736640111.4327717,2827,5433.16015625
1736640112.0002954,2828,5433.1337890625
1736640118.6077552,2849,5433.68408203125
1736640129.008576,2877,5431.1142578125
1736640131.9362128,2885,5430.861328125
1736640135.00293,2893,5430.3056640625
1736640151.213149,2934,5428.98974609375
1736640154.3585289,2943,5428.3330078125
1736640158.6812024,2958,5428.06884765625
1736640161.4980614,2967,5428.1650390625
1736640168.3818831,2984,5427.81103515625
1736640170.9066217,2990,5428.0048828125
1736640176.0383084,3003,5426.25537109375
1736640176.131324,3004,5427.494140625
1736640176.384264,3005,5427.00830078125
1736640180.5469694,3015,5425.50390625
1736640181.3599334,3018,5425.4150390625
1736640186.786268,3035,5425.04736328125
1736640197.155086,3062,5423.75439453125
1736640205.4734125,3084,5423.58154296875
1736640208.9643135,3094,5422.7001953125
1736640215.304278,3111,5421.87890625
1736640235.2960827,3171,5419.72265625
1736640248.3726523,3202,5418.7158203125
1736640249.4791148,3205,5418.51171875
1736640252.520766,3212,5418.26513671875
1736640256.215851,3223,5418.08984375
1736640277.6861675,3284,5415.63916015625
1736640295.2441828,3333,5416.70849609375
1736640295.6018217,3334,5416.61376953125
1736640302.5548806,3353,5413.41845703125
1736640302.76454,3354,5413.18994140625
1736640303.069716,3355,5413.6455078125
1736640308.0711467,3369,5413.7900390625
1736640308.2075527,3370,5413.505859375
1736640316.86896,3395,5412.0888671875
1736640327.3839602,3423,5411.71728515625
1736640334.8511136,3442,5410.47802734375
1736640337.4488163,3449,5410.4169921875
1736640344.2820137,3467,5409.9326171875
1736640345.4287317,3470,5411.33837890625
1736640351.6277354,3491,5409.1494140625
1736640360.9459107,3515,5408.435546875
1736640361.8173656,3518,5408.44873046875
1736640377.258026,3556,5407.794921875
1736640390.4616113,3590,5406.99267578125
1736640397.9012134,3606,5406.6328125
1736640415.666475,3654,5405.54931640625
1736640435.9102314,3711,5403.88037109375
1736640443.8659647,3733,5403.84765625
1736640444.312088,3734,5403.328125
1736640447.2694306,3741,5403.4736328125
1736640450.7400362,3750,5403.00439453125
1736640459.748927,3776,5402.60888671875
1736640475.344606,3816,5401.888671875
1736640476.4796233,3819,5401.80078125
1736640488.7231605,3850,5400.5947265625
1736640493.2409904,3863,5400.2802734375
1736640494.472081,3866,5400.20654296875
1736640507.8387313,3904,5399.9404296875
1736640509.0153172,3907,5400.59912109375
1736640509.9357142,3909,5400.08984375
1736640510.541858,3911,5399.1962890625
1736640511.5615287,3914,5399.24853515625
1736640513.099294,3918,5399.0517578125
1736640513.97337,3921,5398.9453125
1736640520.365726,3940,5398.64208984375
1736640528.7897928,3962,5398.32470703125
1736640546.3445342,4011,5397.07958984375
1736640554.0468094,4032,5396.5341796875
1736640579.8585887,4098,5395.07470703125
1736640581.31857,4100,5397.03564453125
1736640588.7683313,4119,5394.857421875
1736640600.2415724,4152,5394.1123046875
1736640603.581119,4161,5394.0546875
1736640604.9316378,4165,5394.080078125
1736640606.5361316,4171,5394.0009765625
1736640610.4887586,4183,5395.5322265625
1736640611.7258627,4186,5393.5859375
1736640627.628434,4225,5393.00830078125
1736640641.5682998,4262,5392.45654296875
1736640642.2775595,4264,5392.59423828125
1736640645.389515,4273,5392.61279296875
1736640650.1089122,4284,5392.115234375
1736640652.0597243,4290,5392.21630859375
1736640654.5164442,4297,5391.970703125
1736640669.350038,4334,5391.8935546875
1736640678.5483856,4359,5392.9248046875
1736640680.7994483,4365,5391.51806640625
1736640683.1421635,4371,5390.828125
1736640683.9582694,4374,5392.88134765625
1736640692.8412793,4396,5390.61376953125
1736640709.1112592,4431,5390.16259765625
1736640712.3560457,4442,5389.96875
1736640726.0068681,4477,5389.5693359375
1736640739.1254246,4507,5389.16015625
1736640759.5232182,4568,5388.333984375
1736640763.8050444,4578,5388.244140625
1736640788.6915567,4645,5387.36767578125
1736640805.807684,4693,5386.94873046875
1736640809.9987516,4704,5386.8056640625
1736640837.4717715,4775,5386.55517578125
1736640840.942399,4785,5385.9345703125
1736640842.098526,4789,5386.125
1736640852.4742746,4814,5385.7216796875
1736640869.128869,4859,5385.2568359375
1736640870.2216759,4862,5385.40673828125
1736640885.028419,4899,5384.94091796875
1736640899.2466772,4936,5384.724609375
1736640900.7694595,4940,5385.5556640625
1736640901.578811,4942,5385.52685546875
1736640903.781876,4948,5384.837890625
1736640908.281779,4957,5385.4736328125
1736640917.2776723,4980,5384.26904296875
1736640919.6088197,4987,5384.4892578125
1736640934.3813841,5026,5384.2265625
1736640934.8356512,5027,5383.9482421875
1736640946.329236,5057,5383.357421875
1736640954.4735389,5080,5383.87890625
1736640955.1987963,5082,5384.18115234375
1736640955.9168491,5085,5383.2548828125
1736640956.2147481,5086,5384.0205078125
1736640960.1104155,5094,5383.44287109375
1736640975.2146947,5132,5382.72265625
1736640985.0242317,5160,5382.59033203125
1736640991.822193,5179,5382.7724609375
1736640996.4040303,5190,5382.216796875
1736640999.7806973,5199,5382.03564453125
1736641011.6330614,5230,5382.2646484375
1736641015.5611043,5241,5382.58984375
1736641037.917346,5297,5381.17333984375
1736641045.9898424,5316,5381.0869140625
1736641051.606698,5329,5381.75048828125
1736641055.0728276,5338,5381.17529296875
